n_clusters,Random,RG,DI_init,DI_iter1,DI_iter5,DI_iter10,DI_final
2,5.056823,5.057129,5.057129,5.053361,4.969757,4.942585,4.924933
3,5.056477,5.052538,5.052538,4.969464,4.867044,4.863986,4.863699
4,5.055113,5.052002,5.052002,4.939240,4.820063,4.797353,4.794964
5,5.054198,5.051237,5.051237,4.897173,4.796915,4.772302,4.768933
6,5.054524,5.042887,5.042887,4.878924,4.774624,4.744775,4.744752
7,5.054132,5.036654,5.036654,4.871278,4.750453,4.725645,4.723744
8,5.055002,5.008882,5.008882,4.850192,4.744114,4.716995,4.707231
9,5.050918,4.997618,4.997618,4.844639,4.731092,4.707164,4.695103
10,5.051674,4.980996,4.980996,4.808251,4.728362,4.702055,4.689716
11,5.049661,4.955091,4.955091,4.797225,4.708108,4.686234,4.675569
12,5.051382,4.937289,4.937289,4.790358,4.691394,4.671396,4.671009
13,5.049200,4.924504,4.924504,4.777645,4.690399,4.662481,4.661886
14,5.047253,4.910745,4.910745,4.769491,4.677698,4.656426,4.655067
15,5.049055,4.881059,4.881059,4.760836,4.675478,4.653968,4.652614
16,5.047624,4.860660,4.860660,4.755208,4.658636,4.649609,4.648273
17,5.044262,4.849728,4.849728,4.750504,4.652438,4.645873,4.643189
18,5.046848,4.840336,4.840336,4.748107,4.649858,4.640228,4.636410
19,5.045537,4.827674,4.827674,4.742357,4.648426,4.640525,4.634407
20,5.044487,4.821522,4.821522,4.734775,4.641651,4.633564,4.630776
30,5.041582,4.722946,4.751496,4.666684,4.615711,4.610421,4.607392
40,5.034563,4.709652,4.741259,4.661244,4.605388,4.595531,4.590313
50,5.029592,4.699163,4.740935,4.660806,4.597956,4.587039,4.583272
100,5.009339,4.691775,4.793506,4.693218,4.610260,4.578858,4.554192
200,4.975301,4.635949,4.791920,4.664829,4.575376,4.554682,4.533887
300,4.948481,4.611341,4.789515,4.639065,4.559679,4.544491,4.521420
400,4.923019,4.594319,4.789214,4.623381,4.552869,4.536338,4.515847
500,4.903516,4.581078,4.785697,4.623367,4.542572,4.526824,4.507620
1000,4.835523,4.539287,4.778984,4.588542,4.522072,4.510227,4.494455
2000,4.760785,4.501084,4.767508,4.564905,4.504981,4.495383,4.482911
